"","Daerah","PPK 2021","RLS 2021","UHH 2021","HLS 2021","IPM 2021","cluster"
"0","ACEH","9572","9.37","69.96","14.36","72.18","Kuat"
"1","Simeulue","7148","9.48","65.28","13.9","66.41","Sedang"
"2","Aceh Singkil","8776","8.68","67.43","14.32","69.22","Kuat"
"3","Aceh Selatan","8180","8.88","64.4","14.6","67.44","Sedang"
"4","Aceh Tenggara","8030","9.67","68.22","14.01","69.44","Kuat"
"5","Aceh Timur","8577","8.21","68.74","13.04","67.83","Kuat"
"6","Aceh Tengah","10780","9.86","68.86","14.28","73.37","Kuat"
"7","Aceh Barat","9593","9.55","67.99","14.61","71.67","Kuat"
"8","Aceh Besar","9644","10.33","69.79","14.73","73.58","Kuat"
"9","Pidie","9860","9","66.95","14.47","70.7","Kuat"
"10","Bireuen","8867","9.29","71.26","14.84","72.33","Kuat"
"11","Aceh Utara","8201","8.64","68.81","14.71","69.46","Kuat"
"12","Aceh Barat Daya","8428","8.67","65.06","13.65","66.99","Sedang"
"13","Gayo Lues","8856","8.4","65.53","13.78","67.56","Sedang"
"14","Aceh Tamiang","8367","8.91","69.63","13.76","69.48","Kuat"
"15","Nagan Raya","8292","8.69","69.24","14.14","69.31","Kuat"
"16","Aceh Jaya","9666","8.71","67.19","13.99","69.84","Kuat"
"17","Bener Meriah","11118","10","69.26","13.47","73.27","Kuat"
"18","Pidie Jaya","10290","9.34","70.18","14.97","73.6","Kuat"
"19","Kota Banda Aceh","16891","12.83","71.52","17.8","85.71","Rendah"
"20","Kota Sabang","11378","11.18","70.56","14.13","76.11","Rendah"
"21","Kota Langsa","12067","11.12","69.43","15.63","77.44","Rendah"
"22","Kota Lhokseumawe","11390","11.11","71.64","15.21","77.57","Rendah"
"23","Kota Subulussalam","7385","8.03","64.07","14.62","65.27","Sedang"
"24","SUMATERA UTARA","10499","9.58","69.23","13.27","72","Kuat"
"25","Nias","6995","5.64","69.78","12.84","62.74","Sedang"
"26","Mandailing Natal","9771","8.63","62.65","13.61","67.19","Sedang"
"27","Tapanuli Selatan","11304","9.29","64.97","13.35","70.33","Kuat"
"28","Tapanuli Tengah","10138","8.84","67.24","13.07","69.61","Kuat"
"29","Tapanuli Utara","11710","9.99","68.76","13.7","73.76","Kuat"
"30","Toba Samosir","12224","10.57","70.29","13.46","75.39","Rendah"
"31","Labuhan Batu","11212","9.25","69.95","12.74","72.09","Kuat"
"32","Asahan","11030","8.8","68.37","12.61","70.49","Kuat"
"33","Simalungun","11376","9.61","71.37","12.79","73.4","Kuat"
"34","Dairi","10504","9.59","69.19","13.11","71.84","Kuat"
"35","Karo","12412","10","71.58","12.77","74.83","Rendah"
"36","Deli Serdang","12291","10.1","71.77","13.36","75.53","Rendah"
"37","Langkat","11142","8.66","68.97","13.24","71.35","Kuat"
"38","Nias Selatan","7041","6.06","68.86","12.27","62.35","Sedang"
"39","Humbang Hasundutan","8016","9.71","69.51","13.29","69.41","Kuat"
"40","Pakpak Bharat","8254","9.14","65.96","13.87","67.94","Sedang"
"41","Samosir","8504","9.44","71.41","13.48","70.83","Kuat"
"42","Serdang Bedagai","11017","8.69","68.82","12.61","70.56","Kuat"
"43","Batu Bara","10539","8.07","67.13","12.64","68.58","Kuat"
"44","Padang Lawas Utara","10055","9.38","67.22","13.04","70.11","Kuat"
"45","Padang Lawas","8921","9.02","67.13","13.27","68.64","Kuat"
"46","Labuhan Batu Selatan","11562","8.9","68.81","13.01","71.69","Kuat"
"47","Labuhan Batu Utara","11840","8.41","69.56","13.19","71.87","Kuat"
"48","Nias Utara","6155","6.77","69.55","13.04","62.82","Sedang"
"49","Nias Barat","5924","6.69","69.08","12.95","61.99","Sedang"
"50","Kota Sibolga","11540","10.41","69.25","13.28","73.94","Kuat"
"51","Kota Tanjung Balai","11225","9.45","63.44","12.62","68.94","Sedang"
"52","Kota Pematang Siantar","12436","11.29","73.77","14.57","79.17","Rendah"
"53","Kota Tebing Tinggi","12939","10.44","70.95","12.73","75.42","Rendah"
"54","Kota Medan","14999","11.48","73.23","14.75","81.21","Rendah"
"55","Kota Binjai","11063","10.94","72.45","13.63","76.01","Rendah"
"56","Kota Padangsidimpuan","10965","11.09","69.5","14.56","75.48","Rendah"
"57","Kota Gunungsitoli","8134","8.62","71.32","13.75","69.61","Kuat"
"58","SUMATERA BARAT","10790","9.07","69.59","14.09","72.65","Kuat"
"59","Kepulauan Mentawai","6321","7.2","64.73","12.89","61.35","Sedang"
"60","Pesisir Selatan","9270","8.27","70.96","13.33","70.03","Kuat"
"61","Solok","10215","7.87","68.79","13.05","69.24","Kuat"
"62","Sijunjung","10389","8.12","66.36","12.38","67.86","Kuat"
"63","Tanah Datar","10616","8.62","70.12","14.34","72.46","Kuat"
"64","Padang Pariaman","11050","7.88","68.97","13.68","70.76","Kuat"
"65","Agam","9662","8.97","72.53","13.88","72.57","Kuat"
"66","Lima Puluh Kota","9668","8.07","69.84","13.3","69.68","Kuat"
"67","Pasaman","8440","8.1","67.59","12.81","66.77","Sedang"
"68","Solok Selatan","10367","8.32","68.01","12.72","69.23","Kuat"
"69","Dharmasraya","11324","8.55","71.53","12.44","71.76","Kuat"
"70","Pasaman Barat","9089","8.27","67.94","13.68","68.76","Kuat"
"71","Kota Padang","14540","11.59","73.69","16.53","82.9","Rendah"
"72","Kota Solok","12168","11.04","73.73","14.33","78.41","Rendah"
"73","Kota Sawah Lunto","10195","10.32","70.1","13.18","72.88","Kuat"
"74","Kota Padang Panjang","10754","11.63","72.82","15.07","77.97","Rendah"
"75","Kota Bukittinggi","13331","11.34","74.5","14.98","80.7","Rendah"
"76","Kota Payakumbuh","13317","10.81","73.84","14.27","79.08","Rendah"
"77","Kota Pariaman","12818","10.67","70.38","14.55","77.07","Rendah"
"78","RIAU","10736","9.19","71.67","13.28","72.94","Kuat"
"79","Kuantan Singingi","10309","8.75","68.6","13.34","70.6","Kuat"
"80","Indragiri Hulu","10260","8.39","70.26","12.46","70.01","Kuat"
"81","Indragiri Hilir","9945","7.24","67.98","11.93","66.63","Kuat"
"82","Pelalawan","11672","8.7","71.24","12.41","72.08","Kuat"
"83","Siak","11807","9.86","71.13","12.81","73.98","Kuat"
"84","Kampar","10858","9.27","70.83","13.55","73.02","Kuat"
"85","Rokan Hulu","9406","8.54","70.18","12.85","69.67","Kuat"
"86","Bengkalis","11415","9.7","71.24","12.88","73.58","Kuat"
"87","Rokan Hilir","9417","8.26","70.39","12.76","69.34","Kuat"
"88","Kepulauan Meranti","7780","7.84","67.78","12.83","65.7","Sedang"
"89","Kota Pekanbaru","14360","11.92","72.41","15.55","81.58","Rendah"
"90","Kota Dumai","11818","10.14","70.98","13.31","74.75","Rendah"
"91","JAMBI","10588","8.6","71.22","13.04","71.63","Kuat"
"92","Kerinci","10184","8.56","70","13.88","71.45","Kuat"
"93","Merangin","10380","7.9","71.29","12.04","69.53","Kuat"
"94","Sarolangun","11792","8.04","69.21","12.28","70.25","Kuat"
"95","Batang Hari","10032","8.12","70.64","12.93","70.11","Kuat"
"96","Muaro Jambi","8825","8.58","71.32","12.84","69.55","Kuat"
"97","Tanjung Jabung Timur","9163","6.92","66.34","12.17","64.91","Sedang"
"98","Tanjung Jabung Barat","9699","8","68.17","12.63","68.16","Kuat"
"99","Tebo","10546","7.59","70.02","12.64","69.35","Kuat"
"100","Bungo","11670","8.28","67.83","12.63","70.15","Kuat"
"101","Kota Jambi","12240","11.2","72.71","15.37","79.12","Rendah"
"102","Kota Sungai Penuh","10454","10.33","72.21","14.8","75.7","Rendah"
"103","SUMATERA SELATAN","10662","8.3","69.98","12.54","70.24","Kuat"
"104","Ogan Komering Ulu","10040","8.71","68.24","12.83","69.6","Kuat"
"105","Ogan Komering Ilir","10755","7.05","68.67","11.68","67.17","Kuat"
"106","Muara Enim","10995","7.8","69.02","11.98","68.86","Kuat"
"107","Lahat","9735","8.52","66.16","12.35","67.58","Sedang"
"108","Musi Rawas","9550","7.53","68.26","12.19","67.01","Kuat"
"109","Musi Banyuasin","10140","7.63","68.84","12.29","68.1","Kuat"
"110","Banyu Asin","9860","7.44","69.06","11.77","67.13","Kuat"
"111","Ogan Komering Ulu Selatan","8585","7.85","67.07","11.76","65.34","Sedang"
"112","Ogan Komering Ulu Timur","11531","7.56","69.17","12.45","69.58","Kuat"
"113","Ogan Ilir","10454","7.87","65.6","12.31","67.17","Sedang"
"114","Empat Lawang","9400","7.64","65.13","12.07","65.39","Sedang"
"115","Penukal Abab Lematang Ilir","8210","7.05","68.33","12.17","64.88","Sedang"
"116","Musi Rawas Utara","9855","7.09","65.76","11.58","64.93","Sedang"
"117","Kota Palembang","14704","10.75","71.01","14.42","78.72","Rendah"
"118","Kota Prabumulih","12752","9.97","70.47","12.92","74.67","Rendah"
"119","Kota Pagar Alam","8877","9.4","66.85","13.05","68.68","Kuat"
"120","Kota Lubuklinggau","13267","9.9","69.39","13.38","74.89","Rendah"
"121","BENGKULU","10487","8.87","69.42","13.67","71.64","Kuat"
"122","Bengkulu Selatan","9916","9.27","67.93","13.62","70.75","Kuat"
"123","Rejang Lebong","10323","8.33","68.75","13.93","70.77","Kuat"
"124","Bengkulu Utara","10410","8.09","68.27","12.88","69.28","Kuat"
"125","Kaur","8638","8.38","66.73","13.06","67.17","Sedang"
"126","Seluma","8256","8","67.9","13.29","67.03","Kuat"
"127","Mukomuko","10405","8.3","66.73","12.74","68.64","Kuat"
"128","Lebong","11317","8.18","63.4","12.58","67.46","Sedang"
"129","Kepahiang","9377","8.29","68.08","13.12","68.62","Kuat"
"130","Bengkulu Tengah","9471","7.48","68.19","13.28","67.96","Kuat"
"131","Kota Bengkulu","14108","11.8","70.2","16.03","80.54","Rendah"
"132","LAMPUNG","10038","8.08","70.73","12.73","69.9","Kuat"
